,freq,solvent,status
180,0,CN(C)c1ccccc1,
181,0,Reaxys Name alkaline aq$dot$ solution,
182,0,CN(C)P(=O)(N(C)C)N(C)C,
183,0,CCc1ccccc1.Cc1ccc(C)cc1.Cc1cccc(C)c1.Cc1ccccc1C,
184,0,Reaxys Name melt,
185,0,CC(=O)CC(C)C,2
186,0,Cc1cc(C)nc(C)c1,
187,0,[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],
188,0,[H]O[H],
189,0,CC(C)(C)O,2
190,0,O=P(O)(O)O,
191,0,CC(C)CO,
192,0,c1ccsc1,
193,0,ClC(Cl)=C(Cl)Cl,
194,0,Reaxys Name PEG-400,
195,0,FC(F)(F)c1ccccc1,
196,0,O=S(=O)(O)C(F)(F)F,
197,0,CCOC(C)=O,1
198,0,OCC(O)CO,
199,0,Fc1c(F)c(F)c(F)c(F)c1F,
200,0,O=C(O)C(F)(F)F,
201,0,CC(C)=CCOP(=O)(O)OP(=O)(O)O,
202,0,Reaxys Name Petroleum ether,
203,0,O=C([O-])O.[Na+],
204,0,[K+].[OH-],
205,0,[H]OC([H])([H])[H],
206,0,[H]C([H])([H])S(=O)C([H])([H])[H],
207,0,[Na+].[OH-],
208,0,CC(=O)OC(C)C,1
209,0,[O-][Cl+3]([O-])([O-])O,
210,0,FC(F)(Cl)C(F)(Cl)Cl,
211,0,[H]c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H],
212,0,Reaxys Name paraffin,
213,0,Reaxys Name various solvents,
214,0,CS(C)=O,3
215,0,CNC(C)=O,
216,0,Reaxys Name ice-water,
217,0,Clc1ccc(Cl)c(Cl)c1,
218,0,[NH4+].[OH-],
219,0,CC(C)CCO,
220,0,ClC(Cl)C(Cl)Cl,
221,0,Reaxys Name phosphate buffer,
